,center,trials_list,count,End,Not Yet recruiting,Recruiting,position,lat,long
10,Research Site Pierre-Bénite 69495,"['NCT04711252', 'NCT04784715', 'NCT03737643', 'NCT04493853', 'NCT04494425']",5,['NCT03737643'],,"['NCT04711252', 'NCT04784715', 'NCT04493853', 'NCT04494425']","45.7030349, 4.821038199999999",45.7030349,4.821038199999999
11,Research Site Toulouse Cedex 9 31059,"['NCT03997123', 'NCT04590963', 'NCT04784715', 'NCT05048797', 'NCT05104866']",5,"['NCT03997123', 'NCT04590963']",['NCT05104866'],"['NCT04784715', 'NCT05048797']","43.604652, 1.444209",43.604652,1.444209
12,Research Site Tours 37000,"['NCT03800134', 'NCT03833154', 'NCT04494425', 'NCT04532645', 'NCT04999969']",5,"['NCT03833154', 'NCT04532645']",['NCT04999969'],"['NCT03800134', 'NCT04494425']","47.3832745, 0.6897966",47.3832745,0.6897966
13,Research Site Plérin 22190,"['NCT03737643', 'NCT04305496', 'NCT04494425', 'NCT04711252', 'NCT05104866']",5,"['NCT03737643', 'NCT04305496']","['NCT04494425', 'NCT04711252']",['NCT05104866'],"48.534928, -2.770404",48.534928,-2.770404
14,Research Site Montpellier 34298,"['NCT03737643', 'NCT04493853', 'NCT04494425', 'NCT04592913', 'NCT04784715']",5,['NCT03737643'],['NCT04784715'],"['NCT04493853', 'NCT04494425', 'NCT04592913']","43.610769, 3.876716",43.610769,3.876716
15,Research Site Nice 06100,"['NCT03800134', 'NCT04493853', 'NCT04494425', 'NCT04592913', 'NCT04999969']",5,,['NCT04999969'],"['NCT03800134', 'NCT04493853', 'NCT04494425', 'NCT04592913']","43.7275796, 7.2598913",43.7275796,7.2598913
16,Research Site Besançon 25000,"['NCT03737643', 'NCT04494425', 'NCT05140382', 'NCT04305496', 'NCT04784715']",5,"['NCT03737643', 'NCT04305496']","['NCT05140382', 'NCT04784715']",['NCT04494425'],"47.2711117, 6.0282445",47.2711117,6.0282445
17,Centre Oscar Lambret Lille 59020,"['NCT03275298', 'NCT03275311', 'NCT03795207', 'NCT03848052', 'NCT04704934']",5,,['NCT03795207'],"['NCT03275298', 'NCT03275311', 'NCT03848052', 'NCT04704934']","50.6125231, 3.0328183",50.6125231,3.0328183
18,Research Site Vandoeuvre les Nancy 54519,"['NCT03737643', 'NCT04564027', 'NCT04784715', 'NCT04960709', 'NCT04999969']",5,['NCT03737643'],"['NCT04564027', 'NCT04960709', 'NCT04999969']",['NCT04784715'],"48.66111799999999, 6.17376",48.66111799999999,6.17376
19,Research Site Marseille 13273,"['NCT03737643', 'NCT04493853', 'NCT04494425', 'NCT04964934']",4,['NCT03737643'],['NCT04964934'],"['NCT04493853', 'NCT04494425']","43.296482, 5.36978",43.296482,5.36978
20,Centre Léon Bérard Lyon 69373,"['NCT03275298', 'NCT03275311', 'NCT03795207', 'NCT03848052']",4,,['NCT03795207'],"['NCT03275298', 'NCT03275311', 'NCT03848052']","45.7411939, 4.8776062",45.7411939,4.8776062
21,Institut Curie Paris 75005,"['NCT03275298', 'NCT03275311', 'NCT03848052', 'NCT03865511']",4,,['NCT03865511'],"['NCT03275298', 'NCT03275311', 'NCT03848052']","48.8409227, 2.343743",48.8409227,2.343743
22,Research Site Lyon 69373,"['NCT03530397', 'NCT04564027', 'NCT04592913', 'NCT05048797']",4,,"['NCT04564027', 'NCT05048797']","['NCT03530397', 'NCT04592913']","45.764043, 4.835659",45.764043,4.835659
23,Institut Claudius Regaud Toulouse 31059,"['NCT03275298', 'NCT03275311', 'NCT03848052', 'NCT04622319']",4,,,"['NCT03275298', 'NCT03275311', 'NCT03848052', 'NCT04622319']","43.5998704, 1.4330246",43.5998704,1.4330246
24,Research Site Poitiers 86021,"['NCT04590963', 'NCT04999969', 'NCT05061134']",3,,['NCT04590963'],['NCT04999969'],"46.559123, 0.045547",46.559123,0.045547
25,Research Site Nantes 44093,"['NCT04590963', 'NCT04592913', 'NCT05048797']",3,,"['NCT04590963', 'NCT05048797']",['NCT04592913'],"47.218371, -1.553621",47.218371,-1.553621
26,Research Site Marseille 13009,"['NCT03997123', 'NCT04249362', 'NCT04532645']",3,"['NCT03997123', 'NCT04532645']",,['NCT04249362'],"43.2290357, 5.4463322",43.2290357,5.4463322
27,Centre Jean Perrin Clermont-ferrand 63011,"['NCT03275298', 'NCT03275311', 'NCT03848052']",3,,,"['NCT03275298', 'NCT03275311', 'NCT03848052']","45.7582902, 3.0926694",45.7582902,3.0926694
28,Centre Paul Strauss Strasbourg 67065,"['NCT03275298', 'NCT03275311', 'NCT03848052']",3,,,"['NCT03275298', 'NCT03275311', 'NCT03848052']","48.576671, 7.750651",48.576671,7.750651
29,Research Site Rouen 76038,"['NCT04305496', 'NCT04590963', 'NCT04630756']",3,"['NCT04305496', 'NCT04590963']",['NCT04630756'],,"49.605263, 1.152009",49.605263,1.152009
30,Research Site Lyon 69008,"['NCT03997123', 'NCT04550260', 'NCT04960709']",3,['NCT03997123'],['NCT04960709'],['NCT04550260'],"45.7315386, 4.869616499999999",45.7315386,4.869616499999999
31,Research Site Rennes 35042,"['NCT04504669', 'NCT04784715', 'NCT05061134']",3,,['NCT04504669'],['NCT04784715'],"48.117266, -1.6777926",48.117266,-1.6777926
32,Centre Henri Becquerel Rouen 76038,"['NCT03275298', 'NCT03275311', 'NCT03848052']",3,,,"['NCT03275298', 'NCT03275311', 'NCT03848052']","49.439873, 1.1053274",49.439873,1.1053274
33,Research Site Rennes Cedex 9 35033,"['NCT04493853', 'NCT04592913', 'NCT05048797']",3,['NCT05048797'],,"['NCT04493853', 'NCT04592913']","48.117266, -1.6777926",48.117266,-1.6777926
34,Centre Georges-François Leclerc Dijon 21079,"['NCT03275298', 'NCT03275311', 'NCT03848052']",3,,,"['NCT03275298', 'NCT03275311', 'NCT03848052']","47.3198503, 5.0693657",47.3198503,5.0693657
35,Research Site Pierre-Bénite 69310,"['NCT04305496', 'NCT03334617', 'NCT03833154']",3,"['NCT04305496', 'NCT03334617']",,['NCT03833154'],"45.7026039, 4.8245191",45.7026039,4.8245191
36,Research Site Paris 75005,"['NCT04236414', 'NCT04494425', 'NCT04784715']",3,,['NCT04784715'],"['NCT04236414', 'NCT04494425']","48.8434912, 2.3518339",48.8434912,2.3518339
37,Centre François Baclesse Caen 14076,"['NCT03275298', 'NCT03275311', 'NCT03848052']",3,,,"['NCT03275298', 'NCT03275311', 'NCT03848052']","49.20388029999999, -0.3540918",49.20388029999999,-0.3540918
38,Research Site Le Mans 72000,"['NCT04494425', 'NCT04711252', 'NCT04784715']",3,,['NCT04494425'],"['NCT04711252', 'NCT04784715']","48.0157803, 0.1609266",48.0157803,0.1609266
39,Institut régional du Cancer Montpellier / Val d'Aurelle Montpellier 34298,"['NCT03275298', 'NCT03275311', 'NCT03848052']",3,,,"['NCT03275298', 'NCT03275311', 'NCT03848052']","43.64452980000001, 3.8387344",43.64452980000001,3.8387344
40,Institut Curie Paris 75248,"['NCT03875573', 'NCT04656652', 'NCT04912687']",3,,['NCT04912687'],"['NCT03875573', 'NCT04656652']","48.856614, 2.3522219",48.856614,2.3522219
41,Research Site Saint-cloud 92210,"['NCT04494425', 'NCT04711252', 'NCT04964934']",3,,['NCT04711252'],"['NCT04494425', 'NCT04964934']","48.8436899, 2.2143915",48.8436899,2.2143915
42,Institut Jean Godinot Reims 51056,"['NCT03275298', 'NCT03275311', 'NCT03848052']",3,,,"['NCT03275298', 'NCT03275311', 'NCT03848052']","49.2268007, 4.0227479",49.2268007,4.0227479
43,Institut Gustave Roussy Villejuif 94805,"['NCT03275298', 'NCT03275311', 'NCT03848052']",3,,,"['NCT03275298', 'NCT03275311', 'NCT03848052']","48.792716, 2.359279",48.792716,2.359279
44,Research Site Bordeaux 33030,"['NCT04711252', 'NCT04784715', 'NCT05104866']",3,,"['NCT04784715', 'NCT05104866']",['NCT04711252'],"44.837789, -0.57918",44.837789,-0.57918
45,Institut Curie - Hôpital René Huguenin Saint-Cloud 92210,"['NCT03275298', 'NCT03275311', 'NCT03848052']",3,,,"['NCT03275298', 'NCT03275311', 'NCT03848052']","48.8448436, 2.2182092",48.8448436,2.2182092
46,Institut Bergonié Bordeaux 33076,"['NCT03275298', 'NCT03275311', 'NCT03848052']",3,,,"['NCT03275298', 'NCT03275311', 'NCT03848052']","44.8233195, -0.5801172",44.8233195,-0.5801172
47,Institut Bergonie Bordeaux 33076,"['NCT03795207', 'NCT04705818', 'NCT04912687']",3,,['NCT03795207'],"['NCT04705818', 'NCT04912687']","44.8233195, -0.5801172",44.8233195,-0.5801172
48,Research Site Strasbourg 67033,"['NCT04493853', 'NCT04550260', 'NCT04590963']",3,,,"['NCT04493853', 'NCT04550260', 'NCT04590963']","48.756245, 7.69039",48.756245,7.69039
49,Institut Paoli-Calmettes Marseille 13273,"['NCT03275298', 'NCT03275311', 'NCT03848052']",3,,,"['NCT03275298', 'NCT03275311', 'NCT03848052']","43.2630412, 5.410851699999999",43.2630412,5.410851699999999
50,Research Site Vantoux 57070,"['NCT03800134', 'NCT04249362', 'NCT04964934']",3,,['NCT04964934'],"['NCT03800134', 'NCT04249362']","49.129373, 6.235028",49.129373,6.235028
51,Research Site Brest Cedex 29609,"['NCT03997123', 'NCT04592913', 'NCT04711252']",3,['NCT03997123'],,"['NCT04592913', 'NCT04711252']","48.390394, -4.486076",48.390394,-4.486076
52,Research Site Avignon 84918,"['NCT04532645', 'NCT04590963', 'NCT04592913']",3,['NCT04532645'],,"['NCT04590963', 'NCT04592913']","43.94931700000001, 4.805528",43.94931700000001,4.805528
53,Institut de cancérologie de l'Ouest - René Gauducheau Nantes 44805,"['NCT03275298', 'NCT03275311', 'NCT03848052']",3,,,"['NCT03275298', 'NCT03275311', 'NCT03848052']","47.23769679999999, -1.6372547",47.23769679999999,-1.6372547
54,Centre Antoine Lacassagne Nice 06189,"['NCT03275298', 'NCT03275311', 'NCT03848052']",3,,,"['NCT03275298', 'NCT03275311', 'NCT03848052']","43.7245208, 7.280241299999999",43.7245208,7.280241299999999
55,Research Site Nimes 30029,"['NCT04249362', 'NCT04964934']",2,,['NCT04964934'],['NCT04249362'],"43.836699, 4.360054",43.836699,4.360054
56,Research Site Marseille 13385,"['NCT03837899', 'NCT04960709']",2,,['NCT04960709'],['NCT03837899'],"43.296482, 5.36978",43.296482,5.36978
57,Institut de Cancérologie de l'Ouest - Paul Papin Angers 49933,"['NCT03275298', 'NCT03275311']",2,,,"['NCT03275298', 'NCT03275311']","47.47116159999999, -0.5518257",47.47116159999999,-0.5518257
58,Research Site Bayonne 64100,"['NCT04249362', 'NCT04960709']",2,,['NCT04960709'],['NCT04249362'],"43.5031621, -1.4724751",43.5031621,-1.4724751
59,Research Site Avignon Cedex 09 84918,"['NCT04494425', 'NCT04964934']",2,,,"['NCT04494425', 'NCT04964934']","43.94931700000001, 4.805528",43.94931700000001,4.805528
60,Research Site Besançon Cedex 25030,"['NCT04493853', 'NCT04592913']",2,,,"['NCT04493853', 'NCT04592913']","47.261322, 5.871637",47.261322,5.871637
61,Research Site Paris 75012,"['NCT03737643', 'NCT04592913']",2,['NCT03737643'],,['NCT04592913'],"48.8293647, 2.4265406",48.8293647,2.4265406
62,Research Site Marseille 13915,"['NCT04385368', 'NCT04642469']",2,,['NCT04642469'],['NCT04385368'],"43.296482, 5.36978",43.296482,5.36978
63,Research Site Nice 06189,"['NCT04960709', 'NCT05043090']",2,,"['NCT04960709', 'NCT05043090']",,"43.7101728, 7.261953200000001",43.7101728,7.261953200000001
64,Centre Oscar Lambret Lille 59000,"['NCT03302884', 'NCT04622319']",2,,,"['NCT03302884', 'NCT04622319']","50.6125231, 3.0328183",50.6125231,3.0328183
65,Research Site Bordeaux Cedex 33075,"['NCT03530397', 'NCT04960709']",2,,['NCT04960709'],['NCT03530397'],"44.837789, -0.57918",44.837789,-0.57918
66,Research Site Creteil 94010,"['NCT04504669', 'NCT05140382']",2,,"['NCT04504669', 'NCT05140382']",,"48.790367, 2.455572",48.790367,2.455572
67,Research Site Marseille 13005,"['NCT04236414', 'NCT04590963']",2,,,"['NCT04236414', 'NCT04590963']","43.2916612, 5.3965729",43.2916612,5.3965729
68,Institut Bergonie Bordeaux 33000,"['NCT04042701', 'NCT04622319']",2,,,"['NCT04042701', 'NCT04622319']","44.8233195, -0.5801172",44.8233195,-0.5801172
69,Research Site Limoges 87000,"['NCT04249362', 'NCT04532645']",2,['NCT04532645'],,['NCT04249362'],"45.8282652, 1.2639382",45.8282652,1.2639382
70,Research Site Limoges 83000,"['NCT04964934', 'NCT05061550']",2,,,['NCT04964934'],"45.83361900000001, 1.261105",45.83361900000001,1.261105
71,Research Site Lille cedex 59020,"['NCT03833154', 'NCT05104866']",2,['NCT03833154'],['NCT05104866'],,"50.62925, 3.057256",50.62925,3.057256
72,Research Site Brest 29609,"['NCT04305496', 'NCT04494425']",2,['NCT04305496'],,['NCT04494425'],"48.390394, -4.486076",48.390394,-4.486076
73,Research Site Lille Cedex 59037,"['NCT04630756', 'NCT05140382']",2,,"['NCT04630756', 'NCT05140382']",,"50.62925, 3.057256",50.62925,3.057256
74,Research Site Lille Cedex 59020,"['NCT03837899', 'NCT03997123']",2,['NCT03997123'],,['NCT03837899'],"50.62925, 3.057256",50.62925,3.057256
75,Research Site Caen Cedex 05 14076,"['NCT04494425', 'NCT04711252']",2,,['NCT04711252'],['NCT04494425'],"49.228056, -0.300062",49.228056,-0.300062
76,Research Site Caen Cedex 14076,"['NCT03737643', 'NCT04784715']",2,['NCT03737643'],['NCT04784715'],,"49.228056, -0.300062",49.228056,-0.300062
77,Research Site Dijon 21000,"['NCT04532645', 'NCT04592913']",2,['NCT04532645'],,['NCT04592913'],"47.3237985, 5.0386146",47.3237985,5.0386146
78,Research Site Nice 6189,"['NCT03997123', 'NCT04590963']",2,"['NCT03997123', 'NCT04590963']",,,"43.7101728, 7.261953200000001",43.7101728,7.261953200000001
79,Research Site Rouen Cedex 76031,"['NCT03800134', 'NCT04550260']",2,['NCT03800134'],,['NCT04550260'],"49.44323199999999, 1.099971",49.44323199999999,1.099971
80,Centre Eugène Marquis Rennes 35042,"['NCT03275298', 'NCT03275311']",2,,,"['NCT03275298', 'NCT03275311']","48.1197617, -1.6956459",48.1197617,-1.6956459
81,Research Site Pessac 33604,"['NCT04642469', 'NCT04865419']",2,,['NCT04865419'],['NCT04642469'],"44.80583, -0.630386",44.80583,-0.630386
82,Research Site Suresnes 92151,"['NCT04493853', 'NCT04960709']",2,,['NCT04960709'],['NCT04493853'],"48.869798, 2.219033",48.869798,2.219033
83,Research Site Reims 51100,"['NCT04550260', 'NCT05104866']",2,,['NCT05104866'],['NCT04550260'],"49.2442751, 4.0346212",49.2442751,4.0346212
84,Research Site Rennes 35000,"['NCT04494425', 'NCT04960709']",2,,['NCT04960709'],['NCT04494425'],"48.11734209999999, -1.7075198",48.11734209999999,-1.7075198
85,Centre Georges François Leclerc Dijon 21079,"['NCT03795207', 'NCT03875573']",2,,['NCT03795207'],['NCT03875573'],"47.3198503, 5.0693657",47.3198503,5.0693657
86,Centre Georges François Leclerc Dijon 21000,"['NCT04169841', 'NCT04622319']",2,,,"['NCT04169841', 'NCT04622319']","47.3198503, 5.0693657",47.3198503,5.0693657
87,Research Site Strasbourg Cedex 67091,"['NCT04385368', 'NCT04642469']",2,,,"['NCT04385368', 'NCT04642469']","48.5734053, 7.752111299999999",48.5734053,7.752111299999999
88,Research Site Paris Cedex 14 75674,"['NCT03737643', 'NCT04493853']",2,['NCT03737643'],,['NCT04493853'],"48.856614, 2.3522219",48.856614,2.3522219
89,Research Site Paris Cedex 5 75248,"['NCT04964934', 'NCT05048797']",2,['NCT05048797'],,['NCT04964934'],"48.856614, 2.3522219",48.856614,2.3522219
90,Research Site Toulouse 31059,"['NCT03833154', 'NCT04865419']",2,,['NCT04865419'],['NCT03833154'],"43.604652, 1.444209",43.604652,1.444209
91,Centre Leon Berard Lyon 69008,"['NCT04622319', 'NCT04656652']",2,,,"['NCT04622319', 'NCT04656652']","45.7411939, 4.8776062",45.7411939,4.8776062
92,Research Site Paris 75015,"['NCT03737643', 'NCT03833154']",2,['NCT03737643'],,['NCT03833154'],"48.86673099999999, 2.278101",48.86673099999999,2.278101
93,Research Site Calais 62100,['NCT04532645'],1,['NCT04532645'],,,"50.9449796, 1.8871508",50.9449796,1.8871508
94,Research Site Bourg-en-Bresse 01012,['NCT04532645'],1,['NCT04532645'],,,"46.2017118, 5.2170461",46.2017118,5.2170461
95,Research Site Toulouse 31052,['NCT05043090'],1,,['NCT05043090'],,"43.604652, 1.444209",43.604652,1.444209
96,Research Site Toulouse 31000,['NCT04385368'],1,,,['NCT04385368'],"43.6046256, 1.444205",43.6046256,1.444205
97,Research Site Brest 29200,['NCT04532645'],1,['NCT04532645'],,,"48.4012202, -4.492127",48.4012202,-4.492127
98,Research Site Toulon Cedex 9 83800,['NCT03800134'],1,,,['NCT03800134'],"43.124228, 5.928",43.124228,5.928
99,Research Site Saint-Priez En Jarez 42270,['NCT04999969'],1,,,['NCT04999969'],"45.4771259, 4.3715882",45.4771259,4.3715882
100,Research Site Strasbourg 67091,['NCT04960709'],1,,['NCT04960709'],,"48.5734053, 7.752111299999999",48.5734053,7.752111299999999
101,Research Site Saint-Gregoire 35760,['NCT04532645'],1,['NCT04532645'],,,"48.153561, -1.683146",48.153561,-1.683146
102,Research Site Suresnes 92150,['NCT05061550'],1,,,,"48.8712834, 2.21935",48.8712834,2.21935
103,Research Site Bron 69677,['NCT03833154'],1,,,['NCT03833154'],"45.73331599999999, 4.911926999999999",45.73331599999999,4.911926999999999
104,Research Site Boulogne Billancourt 92100,['NCT05061134'],1,,,,"48.833209, 2.2359802",48.833209,2.2359802
105,Research Site Saint-Pierre 97410,['NCT04532645'],1,['NCT04532645'],,,"46.227638, 2.213749",46.227638,2.213749
106,Research Site Saint Cloud 92210,['NCT04784715'],1,,['NCT04784715'],,"48.8436899, 2.2143915",48.8436899,2.2143915
107,Research Site Toulouse 31300,['NCT04236414'],1,,,['NCT04236414'],"43.6051074, 1.3903425",43.6051074,1.3903425
108,Research Site Toulouse 31100,['NCT04964934'],1,,['NCT04964934'],,"43.5618224, 1.3951694",43.5618224,1.3951694
109,Research Site Clermont Ferrand 63003,['NCT05140382'],1,,['NCT05140382'],,"45.77722199999999, 3.087025",45.77722199999999,3.087025
110,University Cancer Institute Toulouse Toulouse 31100,['NCT04042701'],1,,,['NCT04042701'],"43.5618224, 1.3951694",43.5618224,1.3951694
111,Polyclinique de Limoges - Clinique Chenieux Limoges 87039,['NCT04027868'],1,,['NCT04027868'],,"45.8131727, 1.2834167",45.8131727,1.2834167
112,Research Site Amiens 80090,['NCT04960709'],1,,['NCT04960709'],,"49.8776661, 2.3200417",49.8776661,2.3200417
113,Research Site Avignon 84000,['NCT04784715'],1,,,['NCT04784715'],"43.94700419999999, 4.8209596",43.94700419999999,4.8209596
114,The Sel of Centre dOncologie de Gentilly Nancy 54000,['NCT04622319'],1,,,['NCT04622319'],"48.7012741, 6.139445",48.7012741,6.139445
115,Strasbourg Europe Cancer Institute Strasbourg 67033,['NCT04622319'],1,,,['NCT04622319'],"48.5734053, 7.752111299999999",48.5734053,7.752111299999999
116,Research Site Vandoeuvre-les-Nancy 54519,['NCT04532645'],1,['NCT04532645'],,,"48.66111799999999, 6.17376",48.66111799999999,6.17376
117,Research Site Avignon Cedex 84902,['NCT03800134'],1,,,['NCT03800134'],"43.94931700000001, 4.805528",43.94931700000001,4.805528
118,Research Site BESANCON Cedex 25030,['NCT04550260'],1,,,['NCT04550260'],"47.261322, 5.871637",47.261322,5.871637
119,Research Site Vandoeuvre les Nancy Cedex 54511,['NCT03837899'],1,,,['NCT03837899'],"48.66111799999999, 6.17376",48.66111799999999,6.17376
120,Research Site Besancon Cedex 25030,['NCT04711252'],1,,['NCT04711252'],,"47.261322, 5.871637",47.261322,5.871637
121,Research Site Vandoeuvre Les Nancy 54000,['NCT04711252'],1,,['NCT04711252'],,"48.6896459, 6.1737197",48.6896459,6.1737197
122,Research Site Valenciennes 59300,['NCT04532645'],1,['NCT04532645'],,,"50.357113, 3.518332",50.357113,3.518332
123,Research Site Bobigny Cedex 93009,['NCT05057494'],1,,,,"48.908612, 2.439712",48.908612,2.439712
124,Research Site Tours 37044,['NCT05057494'],1,,,,"46.944525, 0.89483",46.944525,0.89483
125,Research Site Toulouse cedex 9 31059,['NCT04305496'],1,['NCT04305496'],,,"43.604652, 1.444209",43.604652,1.444209
126,Research Site Toulouse Cedex 09 31059,['NCT04504669'],1,['NCT04504669'],,,"43.604652, 1.444209",43.604652,1.444209
127,Research Site Bordeaux 33075,['NCT05043090'],1,,,['NCT05043090'],"44.837789, -0.57918",44.837789,-0.57918
128,Research Site Toulouse CEDEX 09 31059,['NCT04642469'],1,['NCT04642469'],,,"43.604652, 1.444209",43.604652,1.444209
129,Research Site Chalon-sur-Saone 71321,['NCT04532645'],1,['NCT04532645'],,,"46.780764, 4.853947",46.780764,4.853947
130,Research Site Paris 75014,['NCT04532645'],1,['NCT04532645'],,,"48.8314408, 2.3255684",48.8314408,2.3255684
131,Research Site Clermont Ferrand 63011,['NCT04960709'],1,,['NCT04960709'],,"45.77722199999999, 3.087025",45.77722199999999,3.087025
132,Research Site Clermont Ferrand cedex 01 63011,['NCT04590963'],1,,,['NCT04590963'],"45.77722199999999, 3.087025",45.77722199999999,3.087025
133,Research Site Marseille CEDEX 13273,['NCT04960709'],1,,['NCT04960709'],,"43.296482, 5.36978",43.296482,5.36978
134,Research Site Marseille CEDEX 5 13385,['NCT05061134'],1,,,,"43.296482, 5.36978",43.296482,5.36978
135,Research Site Marseille cedex 13915,['NCT05048797'],1,,['NCT05048797'],,"43.296482, 5.36978",43.296482,5.36978
136,Research Site Metz 74370,['NCT04964934'],1,,['NCT04964934'],,"45.9388861, 6.1036278",45.9388861,6.1036278
137,Research Site Metz Cedex 03 57085,['NCT04305496'],1,['NCT04305496'],,,"46.227638, 2.213749",46.227638,2.213749
138,Research Site Montpellier 34000,['NCT04305496'],1,['NCT04305496'],,,"43.6047275, 3.9011747",43.6047275,3.9011747
139,Research Site Paris cedex 10 75475,['NCT04592913'],1,,,['NCT04592913'],"48.856614, 2.3522219",48.856614,2.3522219
140,Research Site Montpellier Cedex 05 34298,['NCT04590963'],1,,,['NCT04590963'],"43.610769, 3.876716",43.610769,3.876716
141,Research Site Montpellier Cedex 5 34295,['NCT05057494'],1,,,,"43.610769, 3.876716",43.610769,3.876716
142,Research Site Nantes 44202,['NCT03737643'],1,['NCT03737643'],,,"47.218371, -1.553621",47.218371,-1.553621
143,Research Site Nantes Cedex 1 44093,['NCT03334617'],1,,,['NCT03334617'],"47.218371, -1.553621",47.218371,-1.553621
144,Research Site Paris Cedex 05 75248,['NCT03837899'],1,,,['NCT03837899'],"48.856614, 2.3522219",48.856614,2.3522219
145,Research Site Paris 75960,['NCT04532645'],1,['NCT04532645'],,,"46.227638, 2.213749",46.227638,2.213749
146,Pharmacie ICLN Saint-Priest-en-Jarez 42270,['NCT04704934'],1,,,['NCT04704934'],"45.4771259, 4.3715882",45.4771259,4.3715882
147,Research Site Nice Cedex 2 06189,['NCT04784715'],1,,['NCT04784715'],,"43.7101728, 7.261953200000001",43.7101728,7.261953200000001
148,Research Site Paris 75877,['NCT03334617'],1,,,['NCT03334617'],"46.227638, 2.213749",46.227638,2.213749
149,Research Site Paris 75020,['NCT03997123'],1,['NCT03997123'],,,"48.8599825, 2.4066412",48.8599825,2.4066412
150,Research Site Paris cedex 15 75900,['NCT04592913'],1,,,['NCT04592913'],"48.856614, 2.3522219",48.856614,2.3522219
151,Research Site Pau Cedex 64046,['NCT05061134'],1,,,,"43.301675, -1.172507",43.301675,-1.172507
152,Research Site Poitiers Cedex 86021,['NCT04564027'],1,,['NCT04564027'],,"46.559123, 0.045547",46.559123,0.045547
153,Research Site Rennes 35062,['NCT03737643'],1,['NCT03737643'],,,"48.117266, -1.6777926",48.117266,-1.6777926
