,center,trials_list,count,End,Not Yet recruiting,Recruiting,position,lat,long
197,Centre Leon Berard Lyon Cedex 08 69373,['NCT04704934'],1,,,['NCT04704934'],"45.7411939, 4.8776062",45.7411939,4.8776062
198,Centre Jean Perrin Clermont Ferrand 63011,['NCT03302884'],1,,,['NCT03302884'],"45.7582902, 3.0926694",45.7582902,3.0926694
199,Centre Hospitalier du Morvan Brest 29200,['NCT05049044'],1,,,['NCT05049044'],"48.3930252, -4.486551899999999",48.3930252,-4.486551899999999
200,Centre Hospitalier d'Annecy Annecy 74374,['NCT05049044'],1,,,['NCT05049044'],"45.9335978, 6.1171331",45.9335978,6.1171331
201,Centre Hospitalier du Cotentin Cherbourg 50102,['NCT05049044'],1,,,['NCT05049044'],"49.6338979, -1.622224",49.6338979,-1.622224
202,Centre Hospitalier de Villefranche sur Saone Villefranche Sur Saone 69655,['NCT05049044'],1,,,['NCT05049044'],"45.991471, 4.718821",45.991471,4.718821
203,Centre Hospitalier de Chauny Chauny 02300,['NCT05049044'],1,,,['NCT05049044'],"49.6255157, 3.2339975",49.6255157,3.2339975
204,Centre Hospitalier de Chateauroux Châteauroux 36000,['NCT04027868'],1,,['NCT04027868'],,"46.79881590000001, 1.6979288",46.79881590000001,1.6979288
205,Centre Hospitalier de Beauvais Beauvais 60021,['NCT04027868'],1,,['NCT04027868'],,"49.4503874, 2.0710996",49.4503874,2.0710996
206,Centre Hospitalier d'Elbeuf - Pneumologie Elbeuf 76503,['NCT05049044'],1,,,['NCT05049044'],"49.300608, 0.9926691",49.300608,0.9926691
207,Centre Antoine Lacassagne Nice 6189,['NCT04622319'],1,,,['NCT04622319'],"43.7245208, 7.280241299999999",43.7245208,7.280241299999999
208,Centre Antoine Lacassagne Nice 06000,['NCT04027868'],1,,['NCT04027868'],,"43.7245208, 7.280241299999999",43.7245208,7.280241299999999
209,Centre Antoine Lacassagne ( Site 0610) Nice 06189,['NCT03742895'],1,,,['NCT03742895'],"43.7245208, 7.280241299999999",43.7245208,7.280241299999999
210,CHD Vendee La Roche-sur-Yon 85925 cedex 9,['NCT04622319'],1,,,['NCT04622319'],"46.670511, -1.426442",46.670511,-1.426442
211,CHRU Lille Lille 59037,['NCT04912687'],1,,['NCT04912687'],,"50.62925, 3.057256",50.62925,3.057256
